word	kolvo
aič	349
bisin	345
n'an	267
erek	229
tik	209
bu	197
bi	196
mut	170
noŋən	168
on	165
erew	160
aj	149
kuŋal	149
tarmə	126
mer	120
bid'in	119
oja	113
g'ekiw	102
i	101
biden	100
unət	98
ač	98
t'emi	97
baldun	96
tačin	94
erəgər	91
temi	89
ibd'iri	88
od'in	84
orəčil	84
bis	83
čeled'ur	82
bisni	81
bisəkən	81
ele	80
mun	77
noŋərtən	76
tala	75
taraw	74
egd'en	73
n'anda	71
olləw	68
ibd'iril	67
orəmŋəl	67
esni	67
biwettən	66
odəkən	64
ačča	63
ojaw	62
w	62
men	62
čelewen	62
anŋənu	60
entekeje	60
g'eki	56
a	56
orəm	54
tarak	54
ečin	54
tarəkəm	54
gurgew	54
uməttu	51
tadu	51
jak	51
amnək	50
jawda	50
min	50
munu	49
gurge	49
bisil	48
orən	48
jami	47
3	46
d'ulle	46
gunin	46
ordu	46
bəstrinskij	46
bisitən	45
1	44
bej	42
ekič	42
ebd'endə	40
d'uləpki	40
merker	40
inəŋu	40
okat	40
kobalan	40
bəj	39
g	38
adukanow	38
taduk	38
ini	37
s	37
2	37
d'ur	37
eč	37
umən	36
titel	36
mundu	36
nurgenek	36
ŋi	35
kamčatskoj	35
tabəč	35
orəlbə	35
estən	35
awail	35
oblasti	34
–	34
anda	34
ordula	34
torem	33
4	33
10	33
čeled'i	33
tali	33
eləkəs	33
kuŋalbə	33
aju	33
turu	33
ečil	33
gurgewər	32
abəl	32
goru	32
jakta	32
tek	32
rf	31
urečin	31
egd'em	31
časki	30
ilkən	30
ar	30
okta	30
kamčatka	30
bisiten	30
odni	30
orəl	30
eden	30
aməski	30
ajd'it	30
kmns	29
iniwər	29
ančindulan	29
konc'ertəw	29
bimčə	29
buritən	29
bujli	29
onəsi	29
solod'ikow	29
nodəč	29
gunitən	28
awaj	28
menken	28
esten	28
ken'elič	27
ansambl'	27
okida	26
ača	26
tarid'it	26
koč	26
bise	26
k	26
s'erg'ej	25
je	25
ilən	25
indanowa	25
isčimeček	24
pr'eds'edat'el'	24
ičanga	24
po	24
tiik	24
nan	24
m	24
oran	24
gərbən	23
p	23
ad'iwda	23
ukəl	23
dolan	23
mannuttə	22
ken'eli	22
indanow	22
ojdelin	22
odan	22
ajməkan	22
eten	22
əčin	22
gurgewčir	22
edu	22
rajondula	21
biwettə	21
orəttič	21
beldewər	21
s'ew'era	21
onkə	21
noŋman	21
ejdu	21
asal	21
ŋide	21
unet	21
gunni	21
času	20
gurgewen	20
n	20
administracija	20
iniw	20
tačinnun	20
asatkan	20
d'ir'ektor	20
čelelin	20
kul'turə	20
bisildu	20
prirodnəj	20
bimi	20
kamčatkala	20
minu	20
anawgaj	20
kl	20
agd'il	19
bidetən	19
edetən	19
on'arin	19
burin	19
bad'ikər	19
oblastnoj	19
ortəki	19
d'en'gaw	19
ibd'iriw	19
6	19
gonni	19
tačinda	18
gowettə	18
jaw	18
bidewər	18
narodow	18
emčel	18
rajondulat	18
manur	18
čas	18
čeledukun	18
kuŋaldu	18
anawgajla	18
beil	18
kojerkow	18
al'eks'ej	17
essoduk	17
al'eksandr	17
noŋəndun	17
wlad'imir	17
toren	17
merur	17
gowettitən	17
od'itən	17
g'ekič	17
urekčen	17
kamčatki	17
rub	17
solod'ikowa	17
toreritən	17
ooo	17
gunəm	17
teləŋnin	17
eripči	17
bimči	17
gurgen	17
mandan'a	17
d'alaka	17
gad'in	16
buriten	16
edewər	16
muntəki	16
d'u	16
ewid'ek	16
pr'ezid'ent	16
on'aritən	16
prazdnik	16
tarič	16
erəl	16
sowхoz	16
ajawrə	16
initən	16
kala	16
ebd'endəč	16
etiken	16
ittiwu	16
erəхər	16
odən	16
f'ed'eral'nəj	15
odawər	15
emnin	15
bisi	15
nod	15
d'ipləw	15
ewəski	15
d'apkəwan	15
d'urbə	15
8	15
p'etrowič	15
bəil	15
adunda	15
od'ida	15
tikəsi	15
bowettə	15
r	15
eter	15
ərəgər	15
ollə	15
iwan	15
anŋanila	15
